,MDT-O ,Object,Set #,Notes,notes2
2686,192a.jpg,flip flops,c,duplicate,delete
2687,192b.jpg,flip flops,c,duplicate,delete
2688,001a_2.jpg,light swtich,d,Duplicate from set 6 #57,delete
2689,001b_2.jpg,light swtich,d,Duplicate from set 6 #57,delete
2692,003a_2.jpg,crutches,d,duplicates,delete
2693,003b_2.jpg,crutches,d,duplicates,delete
2694,004a_1.jpg,wodden clip,d,similar concept,delete
2695,004b_1.jpg,wodden clip,d,similar concept,delete
2696,005a_2.jpg,skeleton,d,duplicates,delete
2697,005b_2.jpg,skeleton,d,duplicates,delete
2700,007a_2.jpg,chessboard,d,Duplicate from set 2 image 192,delete
2701,007b_2.jpg,chessboard,d,Duplicate from set 2 image 192,delete
2710,012a_2.jpg,hammer,d,similar,delete
2711,012b_2.jpg,hammer,d,similar,delete
2712,013a_1.jpg,number lock,d,blurry image,delete
2713,013b_1.jpg,number lock,d,blurry image,delete
2716,015a_1.jpg,rubber duck,d,duplicates,delete
2717,015b_1.jpg,rubber duck,d,duplicates,delete
2722,018a_1.jpg,flat screw driver,d,duplicates,delete
2723,018b_1.jpg,flat screw driver,d,duplicates,delete
2724,019a_2.jpg,chalk borad,d,Duplicate from set 2 #84,delete
2725,019b_2.jpg,chalk borad,d,Duplicate from set 2 #84,delete
2726,020a_1.jpg,strawberry,d,blurry image,delete
2727,020b_1.jpg,strawberry,d,blurry image,delete
2728,021a_2.jpg,teapot,d,blurry image,delete
2729,021b_2.jpg,teapot,d,blurry image,delete
2734,024a_2.jpg,compass,d,similar ,delete
2735,024b_2.jpg,compass,d,similar ,delete
2738,026a_1.jpg,lawn mower,d,blurry image,delete
2739,026b_1.jpg,lawn mower,d,blurry image,delete
2740,027a_2.jpg,dice,d,duplicate,delete
2741,027b_2.jpg,dice,d,duplicate,delete
2742,028a_1.jpg,dog,d,duplicates,delete
2743,028b_1.jpg,dog,d,duplicates,delete
2750,032a_1.jpg,classic guitar,d,duplicates,delete
2751,032b_1.jpg,classic guitar,d,duplicates,delete
2752,033a_2.jpg,woman hand,d,duplicates,delete
2753,033b_2.jpg,woman hand,d,duplicates,delete
2754,034a_2.jpg,headphones,d,duplicates,delete
2755,034b_2.jpg,headphones,d,duplicates,delete
2756,035a_2.jpg,key,d,duplicates,delete
2757,035b_2.jpg,key,d,duplicates,delete
2760,037a_1.jpg,chest medal,d,duplicates,delete
2761,037b_1.jpg,chest medal,d,duplicates,delete
2762,038a_2.jpg,?,d,duplicates,delete
2763,038b_2.jpg,?,d,duplicates,delete
2764,039a_2.jpg,microphone,d,blurry image,delete
2765,039b_2.jpg,microphone,d,blurry image,delete
2766,040a_2.jpg,microscope,d,similar,delete
2767,040b_2.jpg,microscope,d,similar,delete
2768,041a_1.jpg,grand piano,d,duplicates,delete
2769,041b_1.jpg,grand piano,d,duplicates,delete
2774,044a_2.jpg,TV remote,d,blurry image,delete
2775,044b_2.jpg,TV remote,d,blurry image,delete
2782,048a_1.jpg,landline phone,d,duplicates,delete
