index,MDT-O ,Object,Set #,Lure Rating,Notes
518,073a_2.jpg,ash tray,2,,
519,073b_2.jpg,ash tray,2,1,
520,074a_2.jpg,gas mask,2,,
521,074b_2.jpg,gas mask,2,3,
522,075a_1.jpg,hammock swing,2,,
523,075b_1.jpg,hammock swing,2,3,
524,076a_2.jpg,sprout,2,,
525,076b_2.jpg,sprout,2,1,
526,077a_2.jpg,cardboard box,2,,
527,077b_2.jpg,cardboard box,2,4,
528,078a_1.jpg,flute,2,,
529,078b_1.jpg,flute,2,3,
530,079a_1.jpg,barrel,2,,
531,079b_1.jpg,barrel,2,1,
532,080a_2.jpg,headphones,2,,
533,080b_2.jpg,headphones,2,5,
534,081a_1.jpg,clothes pin,2,,
535,081b_1.jpg,clothes pin,2,1,
536,082a_1.jpg,sawhorse,2,,
537,082b_1.jpg,sawhorse,2,3,
538,083a_1.jpg,aluminium can,2,,
539,083b_1.jpg,aluminium can,2,4,
540,084a_1.jpg,chalkboard,2,,
541,084b_1.jpg,chalkboard,2,3,
542,085a_2.jpg,aloe vera,2,,
543,085b_2.jpg,aloe vera,2,1,
544,086a_1.jpg,silverwear box,2,,
545,086b_1.jpg,silverwear box,2,2,
546,087a_2.jpg,bassinet,2,,
547,087b_2.jpg,bassinet,2,3,
548,088a_1.jpg,cowboy hat,2,,
549,088b_1.jpg,cowboy hat,2,5,
550,089a_1.jpg,envelope,2,,
551,089b_1.jpg,envelope,2,2,
552,090a_1.jpg,cork,2,,
553,090b_1.jpg,cork,2,4,
554,091a_2.jpg,water heater,2,,
555,091b_2.jpg,water heater,2,3,
556,092a_1.jpg,first place ribbon,2,,
557,092b_1.jpg,first place ribbon,2,4,
558,093a_2.jpg,robe,2,,
559,093b_2.jpg,robe,2,1,
560,094a_1.jpg,ladder,2,,
561,094b_1.jpg,ladder,2,4,
562,095a_2.jpg,circuit board,2,,
563,095b_2.jpg,circuit board,2,2,
564,096a_1.jpg,robot clock,2,,
565,096b_1.jpg,robot clock,2,2,
566,097a_1.jpg,mail,2,,
567,097b_1.jpg,mail,2,5,
568,098a_1.jpg,candy cane,2,,
569,098b_1.jpg,candy cane,2,4,
570,100a_2.jpg,rabbit,2,,
571,100b_2.jpg,rabbit,2,1,
572,101a_2.jpg,heart container,2,,
573,101b_2.jpg,heart container,2,4,
574,102a_1.jpg,bike,2,,
575,102b_1.jpg,bike,2,5,
576,103a_1.jpg,thermos,2,,
577,103b_1.jpg,thermos,2,5,
580,105a_1.jpg,snorkel,2,,
581,105b_1.jpg,snorkel,2,3,
582,106a_2.jpg,yellow bag,2,,
583,106b_2.jpg,yellow bag,2,5,
584,107a_2.jpg,tent,2,,
585,107b_2.jpg,tent,2,1,
586,108a_1.jpg,walkie talkie,2,,
587,108b_1.jpg,walkie talkie,2,2,
588,109a_1.jpg,flip phone,2,,
589,109b_1.jpg,flip phone,2,4,
590,110a_2.jpg,ping pong paddle,2,,
591,110b_2.jpg,ping pong paddle,2,5,
592,111a_1.jpg,dress form,2,,
593,111b_1.jpg,dress form,2,1,
594,112a_1.jpg,milkshake,2,,
595,112b_1.jpg,milkshake,2,3,
596,113a_2.jpg,double decker bus,2,,
597,113b_2.jpg,double decker bus,2,1,
598,114a_1.jpg,backpacking pack,2,,
599,114b_1.jpg,backpacking pack,2,4,
600,115a_2.jpg,film camera,2,,
601,115b_2.jpg,film camera,2,2,
602,116a_2.jpg,camera,2,,
603,116b_2.jpg,camera,2,1,
604,117a_2.jpg,console,2,,
605,117b_2.jpg,console,2,3,
606,118a_2.jpg,squat bar,2,,
607,118b_2.jpg,squat bar,2,5,
608,119a_1.jpg,hot dog,2,,
609,119b_1.jpg,hot dog,2,5,
610,120a_1.jpg,room divider,2,,
611,120b_1.jpg,room divider,2,1,
612,122a_1.jpg,yarn,2,,
613,122b_1.jpg,yarn,2,4,
614,123a_1.jpg,hair curlers,2,,
615,123b_1.jpg,hair curlers,2,5,
616,124a_2.jpg,outlet,2,,
617,124b_2.jpg,outlet,2,2,
618,125a_1.jpg,pomegranate,2,,
619,125b_1.jpg,pomegranate,2,1,
620,126a_1.jpg,adapter,2,,
621,126b_1.jpg,adapter,2,2,
622,128a_2.jpg,crown,2,,
623,128b_2.jpg,crown,2,2,
624,129a_2.jpg,string,2,,
625,129b_2.jpg,string,2,2,
626,130a_2.jpg,high chair,2,,
627,130b_2.jpg,high chair,2,2,
628,131a_1.jpg,tape,2,,
629,131b_1.jpg,tape,2,5,
630,132a_2.jpg,door stop,2,,
631,132b_2.jpg,door stop,2,2,
632,133a_1.jpg,crab,2,,
633,133b_1.jpg,crab,2,3,
634,134a_2.jpg,pitcher,2,,
635,134b_2.jpg,pitcher,2,3,
636,135a_2.jpg,iron,2,,
637,135b_2.jpg,iron,2,2,
638,136a_2.jpg,checkbook,2,,
639,136b_2.jpg,checkbook,2,3,
640,137a_1.jpg,arcade game,2,,
641,137b_1.jpg,arcade game,2,4,
642,138a_1.jpg,star keychain,2,,
643,138b_1.jpg,star keychain,2,4,
644,139a_1.jpg,firefighter helmet,2,,
645,139b_1.jpg,firefighter helmet,2,1,
646,140a_2.jpg,car,2,,
